black.@id,black.rating,black.result,black.username,id,month,time_class,time_control,white.@id,white.rating,white.result,white.username,win_color,win_user,year,time_class_int,winner_sueco
https://api.chess.com/pub/player/elsueco1,1553,timeout,elsueco1,1613779334,02,blitz,180,https://api.chess.com/pub/player/tylerr123,1620,win,TylerR123,white,TylerR123,2021,5,-1
https://api.chess.com/pub/player/elsueco1,1561,win,elsueco1,1613779726,02,blitz,180,https://api.chess.com/pub/player/joeysimon3,1526,checkmated,joeysimon3,black,elsueco1,2021,5,1
https://api.chess.com/pub/player/joeysimon3,1519,resigned,joeysimon3,1613779998,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1568,win,elsueco1,white,elsueco1,2021,5,1
https://api.chess.com/pub/player/elsueco1,1577,win,elsueco1,1613780336,02,blitz,180,https://api.chess.com/pub/player/malikir,1582,resigned,Malikir,black,elsueco1,2021,5,1
https://api.chess.com/pub/player/elsueco1,1569,timeout,elsueco1,1613780690,02,blitz,180,https://api.chess.com/pub/player/calzador222,1591,win,calzador222,white,calzador222,2021,5,-1
https://api.chess.com/pub/player/paztorepolito,1565,checkmated,paztorepolito,1613781080,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1577,win,elsueco1,white,elsueco1,2021,5,1
https://api.chess.com/pub/player/failimprove,1598,win,FailImprove,1613781449,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1569,timeout,elsueco1,black,FailImprove,2021,5,-1
https://api.chess.com/pub/player/slapyourbishup,1556,checkmated,Slapyourbishup,1613781648,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1577,win,elsueco1,white,elsueco1,2021,5,1
https://api.chess.com/pub/player/paddysreturn,1609,resigned,paddysreturn,1613820508,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1586,win,elsueco1,white,elsueco1,2021,5,1
https://api.chess.com/pub/player/elsueco1,1577,timeout,elsueco1,1613820842,02,blitz,180,https://api.chess.com/pub/player/vikas7393,1543,win,vikas7393,white,vikas7393,2021,5,-1
https://api.chess.com/pub/player/ariissss,1606,win,ariissss,1613821142,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1569,timeout,elsueco1,black,ariissss,2021,5,-1
https://api.chess.com/pub/player/elsueco1,1578,win,elsueco1,1613821408,02,blitz,180,https://api.chess.com/pub/player/rohitkulkarni,1601,resigned,RohitKulkarni,black,elsueco1,2021,5,1
https://api.chess.com/pub/player/elsueco1,1570,timeout,elsueco1,1613821703,02,blitz,180,https://api.chess.com/pub/player/kingalfred76,1591,win,KingAlfred76,white,KingAlfred76,2021,5,-1
https://api.chess.com/pub/player/kingalfred76,1583,resigned,KingAlfred76,1613821953,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1578,win,elsueco1,white,elsueco1,2021,5,1
https://api.chess.com/pub/player/elsueco1,1584,win,elsueco1,1613822308,02,blitz,180,https://api.chess.com/pub/player/zzippo31z,1485,resigned,Zzippo31Z,black,elsueco1,2021,5,1
https://api.chess.com/pub/player/zzippo31z,1479,checkmated,Zzippo31Z,1613822568,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1590,win,elsueco1,white,elsueco1,2021,5,1
https://api.chess.com/pub/player/elsueco1,1580,timeout,elsueco1,1613822847,02,blitz,180,https://api.chess.com/pub/player/zzippo31z,1489,win,Zzippo31Z,white,Zzippo31Z,2021,5,-1
https://api.chess.com/pub/player/zzippo31z,1499,win,Zzippo31Z,1613823158,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1570,resigned,elsueco1,black,Zzippo31Z,2021,5,-1
https://api.chess.com/pub/player/elsueco1,1576,win,elsueco1,1613823428,02,blitz,180,https://api.chess.com/pub/player/zzippo31z,1493,resigned,Zzippo31Z,black,elsueco1,2021,5,1
https://api.chess.com/pub/player/zzippo31z,1503,win,Zzippo31Z,1613823815,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1566,timeout,elsueco1,black,Zzippo31Z,2021,5,-1
https://api.chess.com/pub/player/ptero74,1601,resigned,Ptero74,1613823893,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1575,win,elsueco1,white,elsueco1,2021,5,1
https://api.chess.com/pub/player/epicblue,1600,resigned,EpicBlue,1613823948,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1584,win,elsueco1,white,elsueco1,2021,5,1
https://api.chess.com/pub/player/elsueco1,1592,win,elsueco1,1613824229,02,blitz,180,https://api.chess.com/pub/player/nikitassl,1571,checkmated,NikitasSL,black,elsueco1,2021,5,1
https://api.chess.com/pub/player/elsueco1,1584,timeout,elsueco1,1613824587,02,blitz,180,https://api.chess.com/pub/player/judeaugutts,1605,win,judeaugutts,white,judeaugutts,2021,5,-1
https://api.chess.com/pub/player/flo200,1546,win,flo200,1613824948,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1575,timeout,elsueco1,black,flo200,2021,5,-1
https://api.chess.com/pub/player/elsueco1,1583,win,elsueco1,1613825219,02,blitz,180,https://api.chess.com/pub/player/froggy54,1570,resigned,Froggy54,black,elsueco1,2021,5,1
https://api.chess.com/pub/player/zacklona12345678,1503,win,zacklona12345678,1613825531,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1573,timeout,elsueco1,black,zacklona12345678,2021,5,-1
https://api.chess.com/pub/player/elsueco1,1581,win,elsueco1,1613829556,02,blitz,180,https://api.chess.com/pub/player/lgs071421,1579,checkmated,LGS071421,black,elsueco1,2021,5,1
https://api.chess.com/pub/player/adeshsangoi,1584,win,adeshsangoi,1613912333,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1573,timeout,elsueco1,black,adeshsangoi,2021,5,-1
https://api.chess.com/pub/player/elsueco1,1581,win,elsueco1,1613912676,02,blitz,180,https://api.chess.com/pub/player/ibrahim-ainelhayat,1584,timeout,IBRAHIM-AINELHAYAT,black,elsueco1,2021,5,1
https://api.chess.com/pub/player/ibrahim-ainelhayat,1592,win,IBRAHIM-AINELHAYAT,1613913004,02,blitz,180,https://api.chess.com/pub/player/elsueco1,1573,timeout,elsueco1,black,IBRAHIM-AINELHAYAT,2021,5,-1
https://api.chess.com/pub/player/elsueco1,1566,timeout,elsueco1,1613913311,02,blitz,180,https://api.chess.com/pub/player/ccarlton69,1609,win,ccarlton69,white,ccarlton69,2021,5,-1
